# schema	ordinal	sha	kind	commit_date	pr	merge_resolution	ee_boundary	disposition	status	subject	notes
# base	1.5.0	64fde60c0c51cd6d5abea8a5fd1e8c84d21740ae
# target	1.6.0	7996817374bd5003728f1babfc9c639858a4506c
# invariant	every commit in 1.5.0..1.6.0 appears exactly once; no pending disposition at completion
1	aeeb38bc0d73c1130308c3a22821e7e74b589846	commit	2026-07-20T16:41:08+05:30	-	not-applicable	oss-paths-only	pending	pending	fix(workflow): remount Task Runner config panel on task switch	-
3	deb331ccca1c7601060a0605ff655f17a4732d53	commit	2026-07-20T10:05:21Z	-	not-applicable	oss-paths-only	pending	pending	refactor(llm): rename code-analysis agent from agent_code_2 to code_analyzer	-
26	83cdbc6400f7775f8071dbf897d8cb043e58f858	commit	2026-07-22T12:43:35+05:30	-	not-applicable	oss-paths-only	pending	pending	fix(ui): render Discord icon for notification rule channels	-
41	f3f3ecf6226ece97dad8c05a4feb96bc69a3eb06	commit	2026-07-22T15:55:49+05:30	34698	not-applicable	oss-paths-only	pending	pending	fix(knowledge-graph): deactivate pre-existing false cross-namespace CALLS edges (#34698)	-
44	685dcbac2a653d372a0e087034382590d7ebda48	commit	2026-07-22T16:19:34+05:30	34696	not-applicable	oss-paths-only	pending	pending	fix(nb-34695): make Agent Playbook load non-fatal in postgres-migration-job (#34696)	-
45	f8bf02b8dbeb431ec54032371e1d4827f49be868	commit	2026-07-22T16:13:33+05:30	-	not-applicable	touches-ee-path	pending	pending	feat(llm): relevancy-scored rerank + combined-score filter for memory patterns	-
46	86dddd6dda4a01b92c53a7e896dcd806bc4d1934	commit	2026-07-22T20:56:24+05:30	-	not-applicable	oss-paths-only	pending	pending	fix: green OSS boundary on main and widen its PR trigger	-
50	3a3a714148aaf9efd96b4849c03c1e9c0d306044	commit	2026-07-22T22:34:30+05:30	34719	not-applicable	oss-paths-only	pending	pending	feat(ui): consolidate Ask Nubi entry points into global search (#34719)	-
51	d1eac8818142d8d853c252a758dd740cc4133941	commit	2026-07-22T22:37:25+05:30	34707	not-applicable	oss-paths-only	pending	pending	feat(observability): add KQL query language to Elasticsearch log search (#34707)	-
54	a3a721162e1f046da4761d2cebcebf7555755018	commit	2026-07-22T22:19:47+05:30	-	not-applicable	oss-paths-only	pending	pending	fix(llm): cap thinking-token spend and add TTFT watchdog for logs agent stalls	-
55	72793f2c304ae0b311ac04af53e32a19f8b91166	commit	2026-07-23T07:44:07+05:30	34720	not-applicable	oss-paths-only	pending	pending	refactor(app): automated React/Next.js best-practice pass (#34720)	-
57	8bbc791fb99573303d90c04f7ac1972e5e6d69a3	commit	2026-07-23T10:40:30+05:30	34691	not-applicable	oss-paths-only	pending	pending	feat(gateway): P3 Phase 0 — prefix-fingerprint primitive + inferred session id (#34691)	-
61	5ae074c29053423345bb0a7cd056a2b7558e2c56	commit	2026-07-23T12:53:42+05:30	34526	not-applicable	oss-paths-only	pending	pending	feat(knowledge-graph): add GitHub, GitLab, and PagerDuty sources to the Knowledge Graph (#34526)	-
62	f57217cef0cb5ff4160b6ff972585696f9921c74	commit	2026-07-23T13:34:18+05:30	34745	not-applicable	oss-paths-only	pending	pending	Global Search Tour (#34745)	-
63	6be1cbc377b06a6a2f7d3aba8469554db590a2be	commit	2026-07-23T13:52:46+05:30	34747	not-applicable	oss-paths-only	pending	pending	feat(kg): add AWS VPC Flow Logs knowledge-graph flow source (#34747)	-
64	fbfe461fe7bd094485033439a67d3733bae61397	commit	2026-07-23T15:36:55+05:30	-	not-applicable	oss-paths-only	pending	pending	fix(auto-pilot): stop AUTOPILOT_UPDATE audit spam from scheduler ticks	-
70	67d3342bdb029b78e7cc49372e84183418d2d0d6	commit	2026-07-23T16:28:23+05:30	-	not-applicable	oss-paths-only	pending	pending	fix(auto-pilot): purge AUTOPILOT_UPDATE audit backlog on main (V806)	-
73	9d5aa6fe1cd1b2209e14daa00178aff7b5609396	commit	2026-07-23T16:53:21+05:30	-	not-applicable	oss-paths-only	pending	pending	feat(llm): event analysis reads the incident assembly via get_incident_assembly tool	-
