619	OSS-HAS
624	INCONCLUSIVE
24202	OSS-HAS
29692	OSS-HAS
30660	OSS-HAS
34241	OSS-HAS
34289	OSS-HAS
34326	OSS-HAS
34345	OSS-HAS
34480	INCONCLUSIVE
34486	OSS-HAS
34499	INCONCLUSIVE
34508	OSS-HAS
34526	OSS-HAS
34571	OSS-HAS
34574	OSS-HAS
34581	OSS-HAS
34591	OSS-HAS
34619	GAP
34635	OSS-HAS
34637	OSS-HAS
34638	OSS-HAS
34644	OSS-HAS
34645	OSS-HAS
34648	OSS-HAS
34650	OSS-HAS
34652	OSS-HAS
34663	OSS-HAS
34668	OSS-HAS
34671	OSS-HAS
34672	OSS-HAS
34680	GAP
34681	OSS-HAS
34682	OSS-HAS
34684	GAP
34689	OSS-HAS
34691	GAP
34692	OSS-HAS
34694	OSS-HAS
34696	GAP
34698	OSS-HAS
34701	OSS-HAS
34707	GAP
34710	OSS-HAS
34711	OSS-HAS
34713	INCONCLUSIVE
34714	GAP
34718	OSS-HAS
34719	OSS-HAS
34720	OSS-HAS
34722	INCONCLUSIVE
34724	GAP
34726	OSS-HAS
34731	INCONCLUSIVE
34733	OSS-HAS
34734	OSS-HAS
34735	OSS-HAS
34738	OSS-HAS
34739	OSS-HAS
34741	OSS-HAS
34744	GAP
34745	GAP
34746	OSS-HAS
34747	OSS-HAS
34750	OSS-HAS
34753	OSS-HAS
34755	GAP
34758	OSS-HAS
34765	INCONCLUSIVE
34766	OSS-HAS
34768	OSS-HAS
34770	OSS-HAS
34773	OSS-HAS
34776	GAP
34778	OSS-HAS
34780	OSS-HAS
34782	OSS-HAS
34789	OSS-HAS
34795	OSS-HAS
34796	OSS-HAS
34799	OSS-HAS
34803	GAP
34808	OSS-HAS
34810	OSS-HAS
34811	OSS-HAS
34813	GAP
34814	OSS-HAS
34824	OSS-HAS
34825	OSS-HAS
34829	OSS-HAS
34831	OSS-HAS
34832	OSS-HAS
34833	GAP
34836	OSS-HAS
34838	OSS-HAS
34840	INCONCLUSIVE
34842	OSS-HAS
34843	INCONCLUSIVE
34845	OSS-HAS
34852	GAP
34853	OSS-HAS
34856	OSS-HAS
34858	OSS-HAS
34859	OSS-HAS
34860	GAP
34861	INCONCLUSIVE
34862	GAP
34864	OSS-HAS
34865	OSS-HAS
34869	OSS-HAS
34871	OSS-HAS
34873	PARTIAL
34875	OSS-HAS
34876	OSS-HAS
34877	OSS-HAS
34878	OSS-HAS
34879	OSS-HAS
34881	OSS-HAS
34882	OSS-HAS
34883	OSS-HAS
34885	OSS-HAS
34887	OSS-HAS
34890	OSS-HAS
34899	OSS-HAS
34901	OSS-HAS
34903	INCONCLUSIVE
34904	GAP
34906	OSS-HAS
34907	OSS-HAS
34908	OSS-HAS
34909	OSS-HAS
34910	GAP
34911	OSS-HAS
34913	OSS-HAS
34914	OSS-HAS
34915	OSS-HAS
34916	GAP
34917	PARTIAL
34918	OSS-HAS
34920	GAP
34922	OSS-HAS
34925	GAP
34942	INCONCLUSIVE
34947	INCONCLUSIVE
34948	OSS-HAS
34950	OSS-HAS
34952	OSS-HAS
34953	OSS-HAS
34954	GAP
34958	OSS-HAS
34960	GAP
34963	OSS-HAS
34964	GAP
34966	OSS-HAS
34967	OSS-HAS
34970	OSS-HAS
34971	OSS-HAS
34972	OSS-HAS
34974	OSS-HAS
34975	OSS-HAS
34977	OSS-HAS
34978	OSS-HAS
34980	OSS-HAS
34983	OSS-HAS
34985	OSS-HAS
34987	OSS-HAS
34990	GAP
34991	OSS-HAS
34992	OSS-HAS
34994	OSS-HAS
34999	GAP
35001	OSS-HAS
35003	OSS-HAS
35005	OSS-HAS
35006	OSS-HAS
35008	OSS-HAS
35027	OSS-HAS
35040	OSS-HAS
35045	OSS-HAS
35048	OSS-HAS
35051	GAP
35052	GAP
35053	OSS-HAS
35055	OSS-HAS
35056	INCONCLUSIVE
35057	INCONCLUSIVE
35061	OSS-HAS
35063	OSS-HAS
35068	OSS-HAS
35072	OSS-HAS
35081	INCONCLUSIVE
35083	OSS-HAS
35085	OSS-HAS
35087	OSS-HAS
35089	OSS-HAS
35091	OSS-HAS
35095	OSS-HAS
35098	OSS-HAS
35100	GAP
35101	OSS-HAS
35102	INCONCLUSIVE
35104	OSS-HAS
35109	OSS-HAS
35111	GAP
35119	OSS-HAS
35121	OSS-HAS
35126	GAP
35131	OSS-HAS
35135	GAP
35152	GAP
35168	OSS-HAS
35169	OSS-HAS
35170	OSS-HAS
35182	PARTIAL
35196	OSS-HAS
35224	PARTIAL
35235	INCONCLUSIVE
35242	OSS-HAS
35243	OSS-HAS
35271	OSS-HAS
35275	OSS-HAS
35369	GAP
35455	OSS-HAS
35482	GAP
35508	OSS-HAS
35568	OSS-HAS
35583	OSS-HAS
35586	OSS-HAS
35613	EE-ONLY
35630	OSS-HAS
35631	OSS-HAS
35655	OSS-HAS
35726	OSS-HAS
35735	GAP
35782	PARTIAL
35879	OSS-HAS
35914	INCONCLUSIVE
35941	PARTIAL
35949	OSS-HAS
35965	OSS-HAS
35968	INCONCLUSIVE
35973	OSS-HAS
35992	OSS-HAS
36008	OSS-HAS
36010	OSS-HAS
36078	GAP
36121	OSS-HAS
36174	OSS-HAS
36214	OSS-HAS
36220	OSS-HAS
36243	OSS-HAS
36245	OSS-HAS
36259	GAP
36261	OSS-HAS
36263	GAP
